tconst	language
tt1027177	Hungarian
tt10314526	None
tt1039893	French
tt10475856	None
tt1058708	Dutch
tt1059286	French
tt1066401	None
tt1070429	German
tt1070859	Polish
tt10716326	None
tt10768010	Japanese
tt10783390	English
tt10789810	Spanish
tt10795566	Italian
tt10795622	English
tt10795630	English
tt10805086	Spanish
tt1082862	English
tt10869730	German
tt10895762	Spanish
tt10954574	None
tt10968812	None
tt10969382	None
tt11024028	English
tt11090136	English
tt11100434	None
tt11183466	None
tt11242702	Urdu
tt1125806	German
tt11313104	French
tt1131725	English
tt11328350	Chinese
tt11394176	English
tt11465714	None
tt11488856	Arabic
tt11560070	None
tt11696978	None
tt11696986	None
tt1179295	Filipino
tt1184981	Dutch
tt11889990	English
tt11960230	None
tt12073848	None
tt12074122	None
tt12110504	English
tt12246812	English
tt12254818	Swedish
tt12256620	Mandarin
tt1225680	English
tt1225731	English
tt12260790	Portuguese
tt12262298	German
tt12264022	Finnish
tt12264398	Kannada
tt12356886	English
tt1252588	English
tt12526694	Spanish
tt12567090	Danish
tt12608168	English
tt12745710	English
tt1284595	None
tt13049516	English
tt13050748	None
tt13053618	English
tt1305619	English
tt1318928	Hindi
tt1322374	German
tt1329403	English
tt1338589	English
tt13391828	None
tt13393874	Spanish
tt13424010	German
tt1352851	English
tt13580226	French
tt13580538	English
tt13591148	Russian
tt13665092	German
tt13665110	German
tt13705684	Armenian
tt13727606	Turkish
tt13992188	English
tt14045614	English
tt14082598	German
tt14246964	French
tt14247106	English
tt1427044	Hindi
tt14303580	None
tt14389492	German
tt14439088	None
tt14485000	Italian
tt14546614	English
tt14598938	None
tt1462715	English
tt14648000	Italian
tt1475358	Hindi
tt1475392	Hindi
tt1477099	Hindi
tt14838060	English
tt1494608	English
tt15030252	Spanish
tt15040492	English
tt1508256	Russian
tt1509143	English
tt1510668	Hindi
tt15192090	English
tt1519638	Nepali
tt1519639	Arabic
tt15223708	Polish
tt15249740	English
tt1528284	Japanese
tt1530665	Slovak
tt1531017	English
tt15391140	None
tt15391274	German
tt15440368	Spanish
tt1546987	English
tt1553372	English
tt1553679	English
tt15577750	English
tt1559324	English
tt1561361	English
tt1562270	Chinese
tt1567763	English
tt15728088	Portuguese
tt1578733	Hindi
tt15819744	Japanese
tt1582547	Finnish
tt15826376	Spanish
tt1583968	English
tt1590245	English
tt1599290	Italian
tt1600404	German
tt1600771	German
tt1600812	English
tt1600863	English
tt1600893	English
tt1600894	English
tt1600922	Japanese
tt1602031	English
tt1602035	English
tt1605691	English
tt16077750	Hindi
tt1612539	Japanese
tt1612610	English
tt1612760	Spanish
tt1613679	English
tt1613735	French
tt16138938	Kurdish
tt1614347	English
tt1614455	English
tt16148568	Turkish
tt16148580	Russian
tt1614966	English
tt1614992	English
tt16150126	Russian
tt1615051	English
tt1615084	English
tt1615150	English
tt1615154	English
tt1615451	English
tt16154576	Chinese
tt1615465	French
tt1615466	English
tt1615887	English
tt1615888	English
tt1615908	English
tt1616094	English
tt16161526	Russian
tt16162032	Russian
tt1616204	Bulgarian
tt16162172	English
tt16162830	Bangla
tt1616510	English
tt1616539	Bulgarian
tt1616552	Russian
tt16169406	Hindi
tt1617082	Turkish
tt1617136	English
tt1617190	English
tt1617192	Spanish
tt1617200	Bulgarian
tt16175706	Tagalog
tt16183408	English
tt1619039	Albanian
tt1619480	Spanish
tt1619598	Portuguese
tt1619647	English
tt1619814	Spanish
tt1619826	Greek
tt1619887	Greek
tt1620487	English
tt1620599	English
tt1620748	English
tt1620756	English
tt1620852	English
tt1620885	English
tt1622557	English
tt16282914	None
tt1653129	English
tt1666621	English
tt1667341	English
tt1674127	Persian
tt1684552	Persian
tt1686899	None
tt1703839	English
tt1704181	English
tt1714888	None
tt1718820	French
tt1719029	Finnish
tt1719543	English
tt1719590	English
tt1726668	None
tt1726703	None
tt1726715	None
tt17507324	Hindi
tt1753945	Italian
tt1754476	English
tt17832886	Dutch
tt1784632	Hindi
tt1787770	Italian
tt1789746	English
tt1808140	Swedish
tt1808365	English
tt1808663	Armenian
tt1810680	Arabic
tt18182234	Urdu
tt1825853	French
tt18372080	German
tt1849786	Chinese
tt1852071	Polish
tt1870384	Spanish
tt1871191	German
tt1881015	English
tt1906512	Persian
tt1935890	English
tt1954763	English
tt19718808	Spanish
tt1972645	English
tt19732254	English
tt19801270	English
tt19845076	None
tt2004433	English
tt2008479	Croatian
tt2008534	Korean
tt20159034	English
tt20189870	English
tt20259156	English
tt2076339	Norwegian
tt20768698	Portuguese
tt20770780	English
tt2078714	English
tt2082463	Swedish
tt2082518	Italian
tt2085818	English
tt2086826	Hindi
tt2087829	None
tt2093222	Hindi
tt21034768	English
tt2109211	Dutch
tt21237628	None
tt21295412	Korean
tt2147331	English
tt2154654	English
tt21614670	English
tt2162579	Norwegian
tt2164648	Amharic
tt2176039	German
tt2190251	Spanish
tt22023208	English
tt2203941	Finnish
tt2215239	English
tt2221952	None
tt2235555	English
tt2244843	English
tt2246553	Turkish
tt2254246	German
tt2259338	None
tt2261919	English
tt2273621	English
tt2279261	English
tt2316761	Finnish
tt2317726	English
tt2319785	English
tt2323788	Russian
tt2328787	English
tt2333736	None
tt2334570	None
tt2393711	English
tt2403938	English
tt2409608	English
tt2412928	English
tt24638018	Mandarin
tt2464056	German
tt2464358	English
tt24655230	Tamil
tt24659894	Bulgarian
tt2466418	English
tt2466422	Norwegian
tt2466510	English
tt2467370	English
tt2467634	Hebrew
tt2468890	Swedish
