tconst	title type	primary title	original title	isAdult	start year	end year	runtime minutes	genres	averageRating
tt1027177	movie	Tibetben a lélek	Tibetben a lélek	0	2006	\N	86	Documentary	6
tt10314526	movie	How Are You	How Are You	0	2017	\N	88	"Comedy,Drama"	5.5
tt1039893	movie	Djanta	Djanta	0	2007	\N	106	Drama	6.6
tt10475856	movie	Ganges	Ganges	0	2019	\N	75	Documentary	6.6
tt1058708	movie	Child of the Commune	Communekind	0	2004	\N	50	Documentary	7.4
tt1059286	movie	Les hommes	Les hommes	0	2006	\N	95	Documentary	6.4
tt1066401	movie	Aladin	Aladin	0	1975	\N	90	"Comedy,Drama"	8.1
tt1070429	movie	Sénégallemand	Sénégallemand	0	2007	\N	86	Documentary	6
tt1070859	movie	Sen Staszka w Teheranie	Sen Staszka w Teheranie	0	1993	\N	46	Documentary	5.7
tt10716326	movie	Andre Rieu's 2019 Maastricht Concert - Shall We Dance?	Andre Rieu's 2019 Maastricht Concert - Shall We Dance?	0	2019	\N	145	Music	8.3
tt10768010	movie	Be My Slave	Be My Slave	0	2016	\N	104	Drama	6.6
tt10783390	movie	Arsenal vs Manchester United	Arsenal vs Manchester United	0	2014	\N	90	Sport	5.2
tt10789810	movie	Atletico Madrid vs Real Madrid	Atletico Madrid vs Real Madrid	0	2016	\N	90	Sport	7.7
tt10795566	movie	F.C Internazionale Milano vs Chelsea Football Club	F.C Internazionale Milano vs Chelsea Football Club	0	2010	\N	90	Sport	6.6
tt10795622	movie	Liverpool Football Club vs Fútbol Club Barcelona	Liverpool Football Club vs Fútbol Club Barcelona	0	2019	\N	90	Sport	8.8
tt10795630	movie	Champions League - Semi-Final Tottenham Hotspur vs Ajax	Champions League - Semi-Final Tottenham Hotspur vs Ajax	0	2019	\N	90	Sport	6.5
tt10805086	movie	Real Madrid vs Barcelona	Real Madrid vs Barcelona	0	2015	\N	90	Sport	6.6
tt1082862	movie	The Other Side of Bollywood	The Other Side of Bollywood	0	2006	\N	80	Documentary	5.9
tt10869730	movie	Pagan Peak VR	Pagan Peak VR	0	2019	\N	45	"Horror,Thriller"	8.4
tt10895762	movie	Barcelona vs Arsenal	Barcelona vs Arsenal	0	2011	\N	90	Sport	8
tt10954574	movie	Margaret Atwood: Live in Cinemas	Margaret Atwood: Live in Cinemas	0	2019	\N	110	"Documentary,News"	8
tt10968812	movie	Losing Lerato	Losing Lerato	0	2019	\N	96	Drama	7.5
tt10969382	movie	Luzia: Cirque du Soleil in Cinema	Luzia: Cirque du Soleil in Cinema	0	2019	\N	95	Musical	7.6
tt11024028	movie	Isle of Chimps	Isle of Chimps	0	2019	\N	44	Short	6.4
tt11090136	movie	How to Be: Mark Ronson	How to Be: Mark Ronson	0	2019	\N	109	Documentary	7.5
tt11100434	movie	Wilder vs. Ortiz	Wilder vs. Ortiz	0	2019	\N	270	Sport	7.1
tt11183466	movie	Mya Mya	Mya Mya	0	2020	\N	103	Horror	7.5
tt11242702	movie	Allah Rakha	Allah Rakha	0	1987	\N	177	"Action,Crime,Musical"	4.6
tt1125806	movie	Forbidden Love: The Story of Bronia and Gerhard	Forbidden Love: The Story of Bronia and Gerhard	0	2002	\N	54	Documentary	8.2
